Ticker,Date,Alpha,Unemployment,ConsumerSentiment,Market,Size,ValueGrowth,AlphaStd,UnemploymentStd,ConsumerSentimentStd,MarketStd,SizeStd,ValueGrowthStd,TotalRisk,DiversifiableRisk,NonDiversifiableRisk
AMSC,2014-09-30,0.042,-1.138,-0.017,0.781,1.958,-1.172,0.137,1.636,0.363,0.566,1.002,1.082,52.565,47.653,22.187
T,2014-09-30,-0.035,0.469,-0.101,0.503,-0.458,0.341,0.037,0.438,0.097,0.152,0.269,0.29,14.599,12.754,7.104
AA,2014-09-30,0.073,-1.025,-0.099,1.449,0.661,0.046,0.066,0.787,0.175,0.272,0.482,0.52,32.66,22.751,23.432
CB,2014-09-30,-0.034,0.457,0.041,0.635,-0.28,0.168,0.029,0.351,0.078,0.122,0.215,0.232,13.105,10.192,8.237
LOW,2014-09-30,0.001,0.057,0.176,0.98,0.439,0.829,0.049,0.584,0.13,0.202,0.358,0.386,24.566,16.88,17.848
MHFI,2014-09-30,-0.023,0.379,-0.09,1.217,-0.468,-0.905,0.056,0.667,0.148,0.231,0.409,0.441,24.57,19.362,15.126
ACE,2014-09-30,-0.003,0.075,0.031,0.742,0.129,-0.046,0.031,0.373,0.083,0.129,0.229,0.247,15.175,10.804,10.656
ADI,2014-09-30,-0.058,0.679,0.135,1.125,0.158,0.009,0.038,0.457,0.101,0.158,0.28,0.302,21.002,13.154,16.372
ADBE,2014-09-30,0.065,-0.809,0.058,1.147,0.126,0.023,0.053,0.634,0.141,0.219,0.388,0.419,24.958,18.355,16.912
BF_B,2014-09-30,-0.023,0.414,0.078,0.628,-0.042,-0.041,0.042,0.495,0.11,0.171,0.303,0.327,16.74,14.387,8.559
ADSK,2014-09-30,-0.012,0.083,-0.116,1.618,0.922,-0.585,0.063,0.756,0.168,0.262,0.463,0.5,33.791,21.806,25.813
AET,2014-09-30,0.003,0.042,0.153,1.05,-0.147,0.056,0.057,0.679,0.151,0.235,0.416,0.449,24.356,19.733,14.276
